Area,Motorcyclist casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Greenwich-2017,480.82192,5974,47.333867,29.8,11.24776051,924,1211,78077,3322,5847,596,243
Hackney-2017,757.44123,14566,19.049025,4,14.75666077,386,527,41699,2948,3461,199,432
Hammersmith and Fulham-2017,1043.72725,11093,16.397453,6.7,13.87410594,412,564,43083,3958,2452,211,109
Haringey-2017,715.27593,9541,29.598387,4.4,12.19998914,468,619,62055,3387,5218,366,1969
Harrow-2017,253.13404,4995,50.462744,7.9,9.551601078,696,856,100663,2354,6073,607,353
Havering-2017,296.82978,2280,112.349666,39.9,6.235888587,1295,1778,115199,3774,12425,1514,314
Hillingdon-2017,291.06015,2654,115.701137,44,6.928194664,1969,2455,136829,4287,15359,1278,546
Hounslow-2017,605.72278,4912,55.977912,36.9,9.578778144,1328,1660,97095,4103,8210,1290,507
Islington-2017,940.42553,15843,14.856656,2,16.15437552,308,435,35894,3016,2844,247,144
Kensington and Chelsea-2017,1361.23436,13028,12.124013,5.3,17.33749378,389,541,41528,2605,1851,78,102
Kingston upon Thames-2017,486.80194,4788,37.261176,13.8,9.623958192,812,1014,66126,3287,5734,164,205
Lambeth-2017,1157.23597,12352,26.810035,4.8,14.46846302,607,845,64532,4960,5032,169,231
Lewisham-2017,643.86158,8717,35.149294,5.8,13.16669405,698,924,77287,3703,5608,287,251
Merton-2017,499.87382,5534,37.624738,9.9,10.26718113,512,658,72299,3569,6412,815,2822
Newham-2017,390.80909,9598,36.19839,17,12.26021378,800,1046,69977,2629,5153,678,1444
Redbridge-2017,275.03024,5386,56.418997,27.5,9.934597029,1053,1339,105414,2589,7140,323,295
Richmond upon Thames-2017,378.16844,3449,57.406785,5.9,7.331885943,694,869,77639,3997,4035,152,1125
Southwark-2017,792.40816,11009,28.862033,6.4,13.85210806,583,808,57719,3980,4677,271,1418
Sutton-2017,344.41531,4674,43.846981,1.7,9.895778229,589,740,87294,3929,8421,467,254
Tower Hamlets-2017,853.99592,15724,19.781276,15.8,15.21135441,711,975,44138,2863,3162,296,204
Waltham Forest-2017,312.15404,7216,38.807963,11.5,11.26315236,697,905,78840,3108,6661,554,252
Wandsworth-2017,869.27739,9331,34.26417,9,13.02818659,656,868,80195,6087,5569,464,372
Westminster-2017,1662.60887,11637,21.48698,17,16.60075078,633,898,51427,2737,3275,125,661
Barking and Dagenham-2016,188.89858,5729,36.107817,14.5,9.790123839,591,770,62903,2145,6162,1045,190
Barnet-2016,209.79945,4452,86.748314,43.8,9.275108217,1494,1911,142126,4861,8964,582,672
Bexley-2016,159.33976,4044,60.580668,24.5,9.640038964,919,1179,105759,4482,9863,1280,1092
Brent-2016,255.89939,7612,43.232637,12.1,11.54683208,773,987,93132,4709,11162,1196,2210
Bromley-2016,293.67767,2181,150.134892,9.4,6.090522915,1126,1418,149302,6069,11888,667,357
Camden-2016,950.52015,11298,21.789295,3.7,13.13030091,343,470,47808,2857,4436,422,191
Croydon-2016,193.56324,4420,86.503635,9.8,9.10597572,1069,1359,140772,5447,11772,611,349
Ealing-2016,329.25792,6185,55.544305,18.5,10.91020943,1023,1318,117811,5260,10827,1216,1197
Enfield-2016,159.92999,4101,80.831971,31.3,8.358079008,1436,1921,120393,3365,11150,2025,281
Greenwich-2016,253.78352,5910,47.333867,29.8,11.26043642,886,1161,77768,3553,5813,742,239
Hackney-2016,928.61373,14380,19.049025,4,14.76716,380,522,41897,3196,3283,180,381
Hammersmith and Fulham-2016,868.3358,10977,16.397453,6.7,13.88020444,409,560,42923,4125,2602,213,116
Haringey-2016,441.72942,9438,29.598387,4.4,12.21350339,458,608,62099,3491,5123,365,1984
Harrow-2016,84.42143,4941,50.462744,7.9,9.545656098,673,828,100962,2293,6018,705,377
Havering-2016,178.0183,2253,112.349666,39.6,6.227877883,1261,1727,115418,4055,12263,1526,320
Hillingdon-2016,271.10037,2620,115.701137,44.2,6.911773045,1947,2433,136842,4565,15240,1272,706
Hounslow-2016,435.20113,4851,55.977912,36.85,9.577884934,1319,1645,96898,4243,8019,1593,474
Islington-2016,1039.22874,15698,14.856656,2,16.14091354,303,429,36529,3178,2842,219,146
Kensington and Chelsea-2016,1059.17333,12960,12.124013,5.3,17.33749378,383,533,41924,2811,1822,87,104
Kingston upon Thames-2016,403.16399,4727,37.261176,13.8,9.613223158,799,1001,66142,3391,5799,153,210
Lambeth-2016,899.6371,12243,26.810035,4.8,14.44981329,581,809,64641,5125,5024,197,232
Lewisham-2016,526.72203,8605,35.149294,5.7,13.13824397,673,891,77142,3814,5587,331,261
Merton-2016,385.31135,5467,37.624738,9.9,10.26186548,500,645,73833,3724,6515,818,2894
Newham-2016,231.6865,9460,36.19839,16.3,12.22153803,754,989,67815,2811,5044,692,1520
Redbridge-2016,153.71814,5306,56.418997,27,9.90801024,1033,1312,105660,2821,7038,328,322
Richmond upon Thames-2016,668.89291,3412,57.406785,5.9,7.32666008,681,852,77532,4294,3944,174,1078
Southwark-2016,903.50964,10875,28.862033,6.4,13.84517854,563,783,57868,4072,4843,265,1508
Sutton-2016,153.29839,4621,43.846981,1.7,9.891216912,569,718,87061,4074,8390,476,254
Tower Hamlets-2016,925.03297,15445,19.781276,15.8,15.22652027,681,941,43566,2942,3212,366,217
Waltham Forest-2016,427.77957,7125,38.807963,11.5,11.27088273,680,879,78868,3266,6834,607,244
Wandsworth-2016,813.04414,9242,34.26417,8.5,12.96981658,618,819,80369,6609,5423,386,368
Westminster-2016,1445.7987,11524,21.48698,16.7,16.5960968,632,895,50490,2930,2907,135,257
Barking and Dagenham-2015,346.57068,5605,36.107817,14.5,9.740273138,582,739,61497,2164,6066,1023,203
Barnet-2015,555.71504,4378,86.748314,43.6,9.231303331,1523,1910,140154,4889,8619,521,710
Bexley-2015,338.64427,4001,60.580668,24.5,9.432051822,899,1131,104360,4540,9751,1308,1038
Brent-2015,728.36809,7514,43.232637,9.9,11.43349179,749,937,91260,4410,11123,1158,2217
Bromley-2015,403.25435,2167,150.134892,9.4,6.085194373,1127,1386,147812,6106,11533,659,364
Camden-2015,954.12326,11063,21.789295,3.7,13.22667851,350,468,48063,3116,4442,452,190
Croydon-2015,464.34197,4382,86.503635,9.8,9.122160011,1062,1314,138642,5509,11298,543,350
Ealing-2015,717.07782,6183,55.544305,18.5,10.91381016,1035,1308,116985,5799,10457,1265,1233
Enfield-2015,298.38658,4064,80.831971,31.3,8.358079008,1442,1893,118842,3369,10913,1856,280
Greenwich-2015,494.89998,5806,47.333867,29.8,11.26888703,897,1149,76451,3549,5653,643,242
Hackney-2015,635.66646,14143,19.049025,4,14.79340806,380,508,41365,3045,3278,170,314
Hammersmith and Fulham-2015,1164.92949,10962,16.397453,6.7,13.88630295,404,540,42631,4177,2581,231,149
Haringey-2015,710.9769,9249,29.598387,4.4,12.21688195,461,593,61102,3403,4873,341,1655
Harrow-2015,234.69429,4908,50.462744,7.9,9.537729458,668,801,100091,2111,5904,691,339
Havering-2015,293.07265,2220,112.349666,39.6,6.21363663,1244,1662,113863,4130,11912,1436,343
Hillingdon-2015,335.86915,2579,115.701137,44.2,6.892758539,1911,2348,136355,4531,15992,1276,852
Hounslow-2015,706.92414,4809,55.977912,36.85,9.55287507,1314,1609,95708,4203,7800,1752,486
Islington-2015,957.43373,15350,14.856656,2,16.14764453,304,418,36556,3168,2913,209,152
Kensington and Chelsea-2015,1318.86806,13041,12.124013,5.3,17.37873425,385,521,42145,2942,1874,97,100
Kingston upon Thames-2015,426.45152,4658,37.261176,13.8,9.610539399,789,967,65371,3409,5841,144,204
Lambeth-2015,1081.89415,12113,26.810035,4.8,14.23347638,575,777,63649,5006,4870,178,264
Lewisham-2015,672.66459,8476,35.149294,5.7,12.92771343,661,847,75641,3641,5445,398,265
Merton-2015,537.7264,5455,37.624738,9.9,10.26186548,504,630,72203,3736,6231,737,2749
Newham-2015,429.66555,9234,36.19839,16.3,12.19114994,749,961,65360,2742,4876,656,1544
Redbridge-2015,286.39489,5263,56.418997,27,9.911555145,1024,1275,104299,2808,6880,322,323
Richmond upon Thames-2015,451.90777,3392,57.406785,5.9,7.324918126,683,835,77273,4237,3831,169,1025
Southwark-2015,731.62599,10725,28.862033,6.4,13.83131951,568,767,57600,4044,4822,281,1443
Sutton-2015,229.83337,4574,43.846981,1.7,9.902620205,563,689,86066,4102,8293,505,247
Tower Hamlets-2015,870.49005,14959,19.781276,15.8,15.26696256,669,904,42514,2781,3248,397,213
Waltham Forest-2015,394.58642,7004,38.807963,11.5,11.26057557,674,853,77403,3246,6590,581,248
Wandsworth-2015,950.58243,9197,34.26417,8.5,12.84723955,629,813,80201,6686,5344,370,407
Westminster-2015,1506.40325,11277,21.48698,16.7,16.64263661,644,891,50557,2956,2976,107,283
